Report Number,Weather,Surface Condition,Light
1,CLOUDY,DRY,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DARK LIGHTS ON
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DARK LIGHTS ON
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,UNKNOWN
1,CLEAR,DRY,DARK LIGHTS ON
1,CLEAR,V,DAYLIGHT
1,CLEAR,DRY,DARK LIGHTS ON
1,CLEAR,DRY,DAYLIGHT
1,N/A,DRY,DAYLIGHT
1,RAINING,WET,DAYLIGHT
1,CLEAR,V,DARK LIGHTS ON
1,CLEAR,DRY,DARK LIGHTS ON
1,CLEAR,DRY,DAYLIGHT
1,RAINING,WET,DAYLIGHT
1,CLOUDY,DRY,DAYLIGHT
1,CLEAR,DRY,DARK LIGHTS ON
1,CLEAR,DRY,DAYLIGHT
1,N/A,DRY,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,RAINING,WET,DAYLIGHT
1,CLEAR,V,DAYLIGHT
1,RAINING,WET,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,CLOUDY,DRY,DARK LIGHTS ON
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DARK LIGHTS ON
1,RAINING,WET,DAYLIGHT
1,SNOW,ICE,DARK LIGHTS ON
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,N/A,DRY,DAYLIGHT
1,CLEAR,DRY,DARK LIGHTS ON
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,V,DAYLIGHT
1,CLOUDY,DRY,DAYLIGHT
1,CLEAR,DRY,DAWN
1,CLEAR,DRY,DARK LIGHTS ON
1,CLEAR,V,DAYLIGHT
1,CLEAR,DRY,DUSK
1,RAINING,WET,DARK LIGHTS ON
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,N/A,OTHER
1,CLEAR,V,DAYLIGHT
1,CLEAR,DRY,DARK LIGHTS ON
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,V,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DARK NO LIGHTS
1,CLEAR,V,DARK LIGHTS ON
1,CLEAR,DRY,DARK LIGHTS ON
1,CLEAR,DRY,DARK LIGHTS ON
1,RAINING,WET,DUSK
1,RAINING,WET,DAYLIGHT
1,RAINING,WET,DAYLIGHT
1,CLOUDY,DRY,DAYLIGHT
1,RAINING,WET,DARK LIGHTS ON
1,CLEAR,DRY,DAYLIGHT
1,RAINING,WET,DARK LIGHTS ON
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,N/A,DARK LIGHTS ON
1,CLEAR,DRY,DARK LIGHTS ON
1,CLEAR,V,DAYLIGHT
1,RAINING,WET,DAYLIGHT
1,N/A,DRY,DAYLIGHT
1,RAINING,WET,DAYLIGHT
1,CLOUDY,DRY,DAYLIGHT
1,N/A,V,DAYLIGHT
1,CLOUDY,DRY,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DARK LIGHTS ON
1,CLEAR,N/A,DAYLIGHT
1,CLOUDY,V,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,RAINING,WET,DARK LIGHTS ON
1,CLEAR,DRY,DARK LIGHTS ON
1,CLEAR,DRY,DARK LIGHTS ON
1,CLEAR,DRY,DARK LIGHTS ON
1,RAINING,WET,DARK LIGHTS ON
1,CLEAR,DRY,DARK LIGHTS ON
1,CLEAR,V,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,V,DAYLIGHT
1,CLEAR,WET,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,V,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
1,N/A,V,DARK LIGHTS ON
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,DRY,DUSK
1,CLEAR,DRY,DUSK
1,CLEAR,DRY,DAYLIGHT
1,CLEAR,V,DAYLIGHT
1,CLEAR,DRY,DAYLIGHT
