Report Number,Weather,Surface Condition,Light
MCP3153000F,CLEAR,DRY,DAYLIGHT
EJ7858000P,CLEAR,V,DARK -- UNKNOWN LIGHTING
MCP30140038,CLEAR,DRY,DARK LIGHTS ON
MCP3050001C,CLEAR,DRY,DARK LIGHTS ON
MCP2941003P,CLEAR,DRY,DAYLIGHT
MCP27300034,CLEAR,V,DAYLIGHT
MCP2782003P,RAINING,WET,DARK LIGHTS ON
MCP3193003K,CLEAR,DRY,DAYLIGHT
MCP2959001D,CLEAR,DRY,DAYLIGHT
MCP2851001F,CLEAR,V,DARK LIGHTS ON
MCP23650010,RAINING,WET,DAYLIGHT
MCP22980114,CLEAR,DRY,DAYLIGHT
MCP14330041,CLEAR,DRY,DAYLIGHT
MCP31130009,CLOUDY,DRY,DAYLIGHT
MCP24360093,CLEAR,DRY,DAYLIGHT
MCP93100003,CLOUDY,WET,DARK LIGHTS ON
MCP26170010,RAINING,WET,DUSK
MCP3209001S,CLEAR,DRY,DAYLIGHT
MCP2966000Z,CLEAR,DRY,DAYLIGHT
MCP3257003C,CLEAR,DRY,DAYLIGHT
MCP2832006F,CLEAR,V,N/A
MCP2376000V,RAINING,WET,DARK LIGHTS ON
MCP2767002L,CLEAR,V,DAYLIGHT
MCP1438006M,CLOUDY,DRY,DAYLIGHT
MCP30380062,CLEAR,DRY,DARK LIGHTS ON
MCP3130003D,CLEAR,DRY,N/A
MCP3003002M,CLEAR,DRY,DARK NO LIGHTS
MCP30480060,CLEAR,DRY,DAYLIGHT
MCP23480060,CLEAR,DRY,DARK LIGHTS ON
MCP31740015,N/A,DRY,DAYLIGHT
DM8388002L,CLOUDY,DRY,DAYLIGHT
MCP0613001K,CLEAR,DRY,DAYLIGHT
EJ7889003F,N/A,DRY,DUSK
MCP2885000W,CLEAR,DRY,DAYLIGHT
DD5604003H,CLEAR,DRY,DAYLIGHT
MCP2890000Q,CLEAR,DRY,DARK LIGHTS ON
MCP3375000F,CLEAR,DRY,DAYLIGHT
MCP3051006Q,CLEAR,V,DAYLIGHT
MCP29020012,CLEAR,DRY,DARK LIGHTS ON
MCP9366000P,CLEAR,DRY,DARK LIGHTS ON
HA2435000J,N/A,DRY,DAYLIGHT
MCP2875003P,CLOUDY,WET,DARK LIGHTS ON
MCP2750002W,RAINING,WET,DAYLIGHT
MCP25680017,CLEAR,DRY,DARK NO LIGHTS
MCP06850038,CLOUDY,WET,DAYLIGHT
MCP26070049,CLOUDY,V,DAYLIGHT
MCP23480065,CLEAR,DRY,DARK LIGHTS ON
MCP28240015,SNOW,ICE,DAYLIGHT
MCP26310014,CLEAR,DRY,DARK LIGHTS ON
MCP137800P2,CLEAR,DRY,DARK LIGHTS ON
MCP1170000W,CLEAR,DRY,DAYLIGHT
MCP23990016,CLEAR,DRY,DARK NO LIGHTS
MCP27540016,CLEAR,DRY,DAYLIGHT
MCP1213005D,CLEAR,DRY,DAYLIGHT
MCP2952003S,CLEAR,DRY,DAYLIGHT
MCP24200043,CLEAR,DRY,DAYLIGHT
HA23300008,OTHER,WET,DAYLIGHT
MCP297700BM,CLOUDY,WET,DAYLIGHT
MCP3008000J,RAINING,V,DARK LIGHTS ON
MCP2209000Z,CLEAR,DRY,DAYLIGHT
MCP3064001D,CLEAR,DRY,DAYLIGHT
MCP2512003M,CLEAR,DRY,DAYLIGHT
MCP91180027,CLEAR,WET,DARK -- UNKNOWN LIGHTING
MCP27080064,CLEAR,DRY,DARK LIGHTS ON
MCP91060028,CLOUDY,WET,DAYLIGHT
MCP29590010,RAINING,WET,DAYLIGHT
MCP2635006T,CLEAR,DRY,DAYLIGHT
MCP9386001P,CLEAR,DRY,DAYLIGHT
MCP3251000D,CLEAR,DRY,DARK LIGHTS ON
MCP3220002P,RAINING,WET,DAYLIGHT
MCP2311004W,SNOW,SNOW,DAYLIGHT
MCP229800B1,CLEAR,DRY,DUSK
EJ7855001G,RAINING,WET,DARK LIGHTS ON
MCP1500001B,CLEAR,DRY,DAYLIGHT
MCP2894001V,N/A,DRY,DAYLIGHT
MCP2986001C,RAINING,WET,DAYLIGHT
MCP2370002P,CLEAR,DRY,DAYLIGHT
MCP3001000H,CLEAR,N/A,DAYLIGHT
MCP25820022,CLEAR,DRY,DARK LIGHTS ON
MCP0539001H,CLEAR,DRY,DAYLIGHT
MCP2919002F,CLOUDY,V,DAYLIGHT
MCP2198001S,CLOUDY,DRY,DAYLIGHT
MCP2503000F,CLEAR,DRY,DAYLIGHT
MCP2244001M,CLEAR,DRY,DAYLIGHT
MCP2608000N,CLEAR,DRY,DARK LIGHTS ON
MCP3053004W,N/A,DRY,DARK LIGHTS ON
MCP2966002H,CLEAR,DRY,DARK LIGHTS ON
MCP209400HL,CLEAR,DRY,DAYLIGHT
MCP15680002,SEVERE WINDS,ICE,DARK NO LIGHTS
MCP28850016,RAINING,V,DAYLIGHT
MCP3299000C,RAINING,WET,DARK LIGHTS ON
MCP2450000D,N/A,DRY,DAYLIGHT
MCP28770020,FOGGY,WET,DAYLIGHT
MCP1233002C,CLOUDY,V,DAYLIGHT
MCP3026004S,CLEAR,DRY,DAYLIGHT
MCP3023003G,CLEAR,DRY,DAYLIGHT
MCP3305000Q,CLEAR,DRY,DAYLIGHT
EJ7847001H,CLEAR,DRY,DAYLIGHT
MCP3374000H,CLEAR,DRY,DAYLIGHT
MCP26220012,CLEAR,DRY,DARK NO LIGHTS
